Wall time,Step,Value
1500388493.251384,2010,0.71875
1500388494.518449,2013,0.828125
1500388495.3713531,2015,0.828125
1500388496.2135415,2017,0.7421875
1500388499.595295,2025,0.796875
1500388500.356297,2027,0.8214285969734192
1500388505.3246303,2030,0.828125
1500388506.598509,2033,0.6796875
1500388507.867268,2036,0.796875
1500388508.7326305,2038,0.796875
1500388509.9982708,2041,0.8203125
1500388511.2759578,2044,0.703125
1500388518.2750964,2060,0.8125
1500388521.2531517,2067,0.8125
1500388523.3823297,2072,0.765625
1500388523.8130662,2073,0.796875
1500388524.240284,2074,0.7890625
1500388525.0854003,2076,0.7890625
1500388525.507285,2077,0.78125
1500388526.3772528,2079,0.734375
1500388527.2310565,2081,0.7421875
1500388528.9872181,2085,0.7109375
1500388530.7172031,2089,0.7578125
1500388532.8865898,2094,0.8125
1500388533.7859664,2096,0.8203125
1500388536.8950667,2103,0.71875
1500388538.1937895,2106,0.6796875
1500388540.3392515,2111,0.7421875
1500388542.060447,2115,0.7265625
1500388544.348632,2120,0.8359375
1500388545.2351208,2122,0.8359375
1500388545.6995425,2123,0.7578125
1500388550.0178525,2133,0.7734375
1500388550.4504342,2134,0.7734375
1500388552.1789489,2138,0.828125
1500388553.472867,2141,0.7578125
1500388554.7724416,2144,0.7421875
1500388555.206984,2145,0.75
1500388556.6304402,2148,0.828125
1500388557.1444728,2149,0.78125
1500388558.0099833,2151,0.7109375
1500388560.1957927,2156,0.6953125
1500388560.628872,2157,0.734375
1500388563.6542754,2164,0.7734375
1500388564.0874135,2165,0.7421875
1500388565.8242455,2169,0.7421875
1500388566.707843,2171,0.75
1500388567.584189,2173,0.796875
1500388569.3391929,2177,0.78125
1500388573.853911,2187,0.796875
1500388574.796773,2189,0.734375
1500388575.6929257,2191,0.7421875
1500388576.1297166,2192,0.796875
1500388577.879356,2196,0.8035714030265808
1500388583.016298,2199,0.8203125
1500388586.5329664,2207,0.8125
1500388588.3690248,2211,0.7734375
1500388594.5180256,2225,0.734375
1500388596.302049,2229,0.8046875
1500388597.1815717,2231,0.78125
1500388599.3856552,2236,0.8125
1500388599.8289282,2237,0.7578125
1500388600.7099783,2239,0.7890625
1500388601.6331472,2241,0.75
1500388602.082737,2242,0.7890625
1500388602.9947355,2244,0.78125
1500388603.8842597,2246,0.78125
1500388604.366449,2247,0.7421875
